horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,cycle_lag_days,MAE_current_only,improvement_vs_current_only_%
180,cycle_phase,Ridge,19965,4992,20.094,26.657,0.605,3802,21.491,6.501
180,regime_all,RandomForest,19965,4992,20.144,29.157,0.527,3802,20.264,0.59
180,current_only,RandomForest,19965,4992,20.264,28.632,0.544,3802,20.264,0.0
180,regime_numeric,Ridge,19965,4992,20.511,27.59,0.577,3802,21.491,4.56
180,regime_all,Ridge,19965,4992,20.84,28.036,0.563,3802,21.491,3.03
180,persistence,Persistence,19965,4992,20.98,31.111,0.462,3802,,
180,full_cycle,Ridge,19965,4992,21.168,27.565,0.578,3802,21.491,1.505
180,cycle_phase,RandomForest,19965,4992,21.461,31.08,0.463,3802,20.264,-5.91
180,current_only,Ridge,19965,4992,21.491,29.061,0.531,3802,21.491,0.0
180,full_cycle,HistGradientBoosting,19965,4992,22.66,31.219,0.458,3802,19.905,-13.845
180,full_cycle,RandomForest,19965,4992,25.331,35.646,0.294,3802,20.264,-25.008
365,cycle_phase,HistGradientBoosting,19965,4992,19.773,27.76,0.572,3617,24.652,19.79
365,structural_all,HistGradientBoosting,19965,4992,19.823,26.655,0.605,3617,24.652,19.588
365,cycle_phase,RandomForest,19965,4992,20.775,29.427,0.519,3617,24.934,16.68
365,cycle_phase,Ridge,19965,4992,21.446,28.169,0.559,3617,26.049,17.671
365,cycle_recurrence,HistGradientBoosting,19965,4992,21.514,30.761,0.474,3617,24.652,12.727
365,cycle_recurrence,RandomForest,19965,4992,21.981,31.413,0.451,3617,24.934,11.845
365,structural_all,Ridge,19965,4992,22.69,29.115,0.529,3617,26.049,12.898
365,full_cycle,Ridge,19965,4992,22.721,29.315,0.522,3617,26.049,12.777
365,cycle_recurrence,Ridge,19965,4992,22.766,31.418,0.451,3617,26.049,12.605
365,full_cycle,HistGradientBoosting,19965,4992,22.807,31.048,0.464,3617,24.652,7.483
365,full_cycle,RandomForest,19965,4992,23.527,31.745,0.44,3617,24.934,5.644
365,regime_all,HistGradientBoosting,19965,4992,23.604,32.359,0.418,3617,24.652,4.252
365,structural_all,RandomForest,19965,4992,23.912,34.19,0.35,3617,24.934,4.098
365,regime_numeric,HistGradientBoosting,19965,4992,23.956,32.768,0.403,3617,24.652,2.824
