date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-05-14,195.3,1253.1465,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-15,185.9,1253.1833,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-16,235.6,1253.22,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-17,239.7,1253.2568,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-18,246.6,1253.2935000000002,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-19,253.5,1253.3302,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-20,289.3,1253.367,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-21,336.1,1253.4037,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-22,301.0,1253.4405,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-23,336.0,1253.4772,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-24,326.53333333333336,1253.5139666666666,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-25,317.06666666666666,1253.5507333333335,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-26,307.6,1253.5875,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-27,301.5,1253.6243,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-28,346.7,1253.661,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-29,335.7,1253.6978,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-30,297.4,1253.7345,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-31,260.7,1253.7713,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-01,260.35,1253.80805,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-02,260.0,1253.8448,269.0241935483871,,,,0,1,0,0,0,1,0,1
